id,AGE,GENDER,H2,C2,FHD2,FC2,H4,C4,FHD4,FC4,H6,C6,FHD6,FC6,H9,C9,FHD9,FC9,H10,C10,FHD10,FC10,H13,C13,FHD13,FC13,H16,C16,FHD16,FC16
221,21,1,3,1,3,1,2,1,3,1,4,1,2,1,2,1,2,1,2,1,1,3,4,2,3,1,1,1,1,2
225,22,1,5,1,4,1,4,1,1,3,3,2,4,1,3,3,3,2,1,2,1,3,1,2,1,3,3,2,1,4
227,21,1,5,2,5,2,2,3,1,2,3,3,3,3,5,3,5,3,3,4,3,4,5,1,5,1,4,3,4,3
229,19,2,1,3,1,3,5,3,5,3,2,4,2,4,2,2,2,2,3,4,3,4,2,1,2,1,4,1,1,1
233,20,1,1,1,4,2,1,2,1,4,4,3,2,1,4,3,4,2,5,3,1,3,5,3,1,2,2,1,1,3
234,20,2,5,1,4,2,5,3,5,3,2,4,2,4,1,3,1,1,3,4,3,4,2,2,2,1,4,1,1,2
238,21,2,4,2,4,2,5,3,5,2,2,3,2,3,5,2,5,2,3,4,3,4,2,1,2,1,3,1,1,1
239,20,2,5,2,5,1,5,4,5,3,2,3,2,3,1,2,1,1,4,1,5,1,2,3,2,2,4,2,1,4
240,23,1,3,1,3,1,5,4,5,4,2,3,2,3,4,3,4,3,5,2,1,2,3,2,3,2,4,1,1,3
241,27,2,4,3,4,3,5,4,5,4,2,4,2,4,4,3,4,3,2,2,1,3,4,3,4,3,4,1,1,3
242,20,1,4,3,4,3,3,2,1,1,1,1,2,1,5,1,5,1,5,1,1,1,3,1,1,1,1,1,1,1
243,45,AO04,5,3,5,3,5,3,5,3,1,3,1,3,4,3,4,3,5,1,1,3,1,1,1,1,3,2,1,3
246,57,2,2,3,2,3,5,4,5,4,2,4,2,4,4,4,4,4,3,4,3,4,5,1,1,1,3,2,1,3
250,21,2,4,4,4,4,5,4,5,4,5,1,5,1,1,4,1,4,4,2,4,2,5,2,5,2,3,1,3,1
251,59,2,3,2,3,2,5,3,1,2,5,2,5,2,2,2,2,1,5,2,1,2,1,1,1,1,4,2,1,2
252,57,2,5,1,5,1,1,1,1,3,1,2,1,3,1,3,5,2,1,3,1,4,5,3,5,2,4,2,1,2
254,21,2,5,3,4,2,2,2,2,2,2,1,2,3,1,3,1,2,5,2,5,2,4,1,1,1,2,1,1,1
255,53,1,2,2,2,2,3,1,3,1,2,1,2,1,4,2,4,2,2,1,2,1,4,2,4,2,5,2,5,2
258,51,1,5,1,5,3,5,4,5,4,5,4,5,4,2,1,2,1,5,1,5,4,2,1,2,1,4,1,4,3
259,25,2,5,3,5,3,5,4,5,4,3,1,2,4,5,3,5,3,3,4,3,4,5,1,5,1,3,2,1,3
260,58,1,5,1,5,1,5,4,5,4,2,4,2,4,5,2,5,2,3,1,3,1,4,1,4,1,5,1,1,1
262,60,2,2,3,2,2,5,3,5,3,2,3,2,3,4,3,4,3,3,3,3,3,4,2,4,2,5,3,5,3
263,22,2,2,1,4,4,3,3,1,4,3,2,2,1,4,4,4,4,3,1,1,4,4,4,1,4,5,4,1,2
265,20,1,1,1,1,1,1,1,1,2,5,1,2,1,1,1,1,1,2,2,1,1,5,1,2,1,2,2,1,1
266,58,2,5,1,5,1,3,1,1,4,2,3,2,4,5,1,5,1,2,1,1,4,4,1,4,1,1,1,1,4
267,57,1,3,3,3,2,2,1,1,2,2,3,2,2,2,2,5,2,1,2,1,3,2,2,2,2,1,3,1,4
269,20,1,5,2,4,2,5,4,5,4,1,1,2,1,2,2,2,1,3,4,3,4,1,2,1,2,5,1,1,1
