id,AGE,GENDER,H2,C2,FHD2,FC2,H6,C6,FHD6,FC6,H8,C8,FHD8,FC8,H9,C9,FHD9,FC9,H11,C11,FHD11,FC11,H13,C13,FHD13,FC13,H14,C14,FHD14,FC14,H18,C18,FHD18,FC18
187,24,1,3,2,3,2,1,2,1,1,1,3,1,1,5,3,5,4,1,1,1,1,3,1,1,1,5,2,4,2,1,2,1,2
188,21,2,2,3,2,3,4,1,2,2,1,3,1,4,5,4,5,4,4,1,4,1,4,3,1,2,1,3,1,2,3,2,3,2
189,21,2,4,1,4,4,5,1,5,2,5,1,2,1,3,1,5,1,4,4,4,4,3,1,2,4,2,1,2,3,3,2,2,4
190,21,1,4,2,4,2,4,3,4,3,1,2,1,2,2,2,2,2,4,1,4,1,2,1,2,1,1,2,1,2,3,2,3,2
191,21,2,2,4,2,4,2,4,2,4,1,2,1,2,1,3,1,2,4,2,4,2,4,3,4,3,5,4,5,4,1,1,1,1
192,22,2,5,2,4,3,2,4,2,4,1,4,1,4,4,4,4,4,5,1,5,1,2,1,1,1,5,4,5,4,5,3,5,3
193,21,2,4,3,4,3,2,4,2,4,1,1,2,1,1,3,1,2,1,2,1,1,3,1,1,1,4,2,4,2,3,3,3,3
195,23,2,5,2,5,2,2,1,2,2,1,2,1,1,1,3,1,3,3,1,4,1,5,1,1,2,4,3,4,4,4,2,4,1
196,20,2,1,1,4,2,2,4,2,4,1,1,1,2,5,3,5,3,5,1,4,1,4,1,1,1,4,3,4,3,1,3,1,3
197,21,1,3,3,3,3,1,4,1,3,5,4,5,4,5,4,5,4,5,1,5,1,5,1,1,1,4,2,4,3,4,4,4,4
199,21,1,5,2,5,2,2,4,2,4,4,1,4,1,5,3,5,2,5,2,5,1,5,1,5,1,4,1,4,1,3,3,3,3
200,20,2,5,3,5,2,2,4,2,4,1,3,1,2,4,2,4,2,1,2,4,2,1,1,1,2,1,2,1,2,5,3,5,3
201,26,1,4,2,4,2,1,3,1,2,5,2,5,2,4,4,4,3,4,1,4,2,2,2,2,2,5,4,5,3,5,4,5,4
202,21,2,4,3,4,3,1,1,2,1,4,1,2,3,4,3,4,3,5,2,4,3,2,1,1,2,4,3,4,3,5,3,5,3
203,23,2,5,1,4,1,2,4,2,4,1,1,2,1,4,2,4,2,3,1,4,1,2,2,2,2,4,3,4,3,5,4,5,4
204,30,1,3,2,3,2,1,1,2,1,1,2,1,2,4,3,4,2,1,1,4,1,5,3,5,2,5,2,5,2,5,4,5,4
205,21,2,4,2,4,2,2,4,2,4,1,3,1,3,1,2,1,2,5,2,4,1,5,2,5,2,5,3,5,3,3,3,3,3
206,21,2,1,2,1,1,3,2,3,2,4,2,2,1,2,2,2,1,1,2,1,2,1,2,1,3,4,2,4,3,3,3,3,2
207,21,1,4,2,4,2,2,4,2,4,5,1,2,3,4,2,4,2,1,1,4,2,3,1,1,1,4,1,4,2,3,3,3,2
208,20,2,4,1,4,1,1,1,1,1,5,3,5,3,1,2,1,2,1,1,1,1,5,1,1,1,4,3,4,3,4,2,4,2
209,21,1,2,3,2,3,3,1,2,1,1,4,1,4,5,3,5,3,1,2,1,2,5,1,1,1,5,3,5,3,5,4,5,4
210,21,1,5,2,5,2,2,4,2,4,4,3,4,1,5,3,5,4,1,1,1,1,1,3,1,3,5,3,5,3,5,3,5,3
211,22,2,2,2,2,2,3,1,3,1,1,2,1,2,4,4,4,4,1,1,1,1,1,1,1,1,4,2,4,2,3,3,3,2
212,20,1,3,1,3,1,1,2,1,1,4,3,4,3,5,3,5,4,1,1,1,2,5,3,5,2,4,4,4,4,4,2,4,1
215,35,1,5,3,5,3,2,3,2,3,5,2,5,2,4,3,4,3,2,2,2,2,4,3,4,3,4,2,4,2,5,3,5,3
216,21,2,4,1,4,3,2,4,2,4,1,2,1,2,1,1,1,1,1,1,4,1,2,1,1,2,4,1,4,3,4,2,4,2
218,21,1,2,2,2,2,2,4,2,4,1,2,1,2,5,1,5,2,1,2,1,2,1,2,1,2,4,1,4,2,3,3,3,2
219,21,2,5,1,4,1,1,1,2,1,1,3,1,3,2,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,4,2,2,1
221,21,1,3,1,3,1,4,1,2,1,3,1,2,1,2,1,2,1,2,1,2,1,4,2,3,1,1,1,3,1,4,1,4,1
225,22,1,5,1,4,1,3,2,4,1,5,1,2,2,3,3,3,2,3,2,4,2,1,2,1,3,5,1,4,2,3,3,3,2
227,21,1,5,2,5,2,3,3,3,3,4,2,4,2,5,3,5,3,1,3,1,2,5,1,5,1,4,3,4,3,4,2,4,2
229,19,2,1,3,1,3,2,4,2,4,1,2,1,2,2,2,2,2,1,1,1,1,2,1,2,1,5,2,5,2,4,3,4,3
233,20,1,1,1,4,2,4,3,2,1,1,1,1,2,4,3,4,2,4,3,4,3,5,3,1,2,4,4,4,4,4,4,4,3
234,20,2,5,1,4,2,2,4,2,4,1,3,1,2,1,3,1,1,3,1,4,1,2,2,2,1,5,2,5,2,3,3,3,2
238,21,2,4,2,4,2,2,3,2,3,2,2,2,2,5,2,5,2,4,2,4,2,2,1,2,1,4,2,4,2,4,2,4,2
239,20,2,5,2,5,1,2,3,2,3,4,1,4,1,1,2,1,1,2,1,2,1,2,3,2,2,5,3,5,1,5,4,5,4
240,23,1,3,1,3,1,2,3,2,3,2,2,3,1,4,3,4,3,2,1,2,1,3,2,3,2,1,2,4,2,1,3,1,3
241,27,2,4,3,4,3,2,4,2,4,5,3,5,3,4,3,4,3,3,2,3,2,4,3,4,3,4,3,4,3,4,4,4,4
242,20,1,4,3,4,3,1,1,2,1,4,1,2,1,5,1,5,1,4,1,4,1,3,1,1,1,4,1,4,4,3,4,3,4
243,45,AO04,5,3,5,3,1,3,1,3,4,2,4,3,4,3,4,3,3,3,3,3,1,1,1,1,4,3,4,3,4,3,4,3
246,57,2,2,3,2,3,2,4,2,4,1,4,1,4,4,4,4,4,3,3,3,3,5,1,1,1,5,4,5,4,5,4,5,4
250,21,2,4,4,4,4,5,1,5,1,4,3,4,3,1,4,1,4,5,2,5,2,5,2,5,2,2,2,2,2,4,3,4,3
251,59,2,3,2,3,2,5,2,5,2,1,2,1,2,2,2,2,1,4,2,4,2,1,1,1,1,5,2,5,2,3,2,3,2
252,57,2,5,1,5,1,1,2,1,3,4,3,4,2,1,3,5,2,1,2,1,2,5,3,5,2,4,2,4,3,3,3,3,1
254,21,2,5,3,4,2,2,1,2,3,4,3,4,2,1,3,1,2,5,1,5,1,4,1,1,1,4,1,4,2,5,3,5,3
255,53,1,2,2,2,2,2,1,2,1,1,3,1,3,4,2,4,2,4,1,4,1,4,2,4,2,1,2,1,2,3,2,3,2
258,51,1,5,1,5,3,5,4,5,4,4,1,4,1,2,1,2,1,4,1,4,4,2,1,2,1,4,4,4,4,4,4,4,4
259,25,2,5,3,5,3,3,1,2,4,1,2,1,3,5,3,5,3,3,1,3,1,5,1,5,1,4,3,4,3,3,3,3,3
260,58,1,5,1,5,1,2,4,2,4,1,2,1,2,5,2,5,2,2,1,2,1,4,1,4,1,2,1,2,1,5,4,5,4
262,60,2,2,3,2,2,2,3,2,3,5,3,5,3,4,3,4,3,2,2,2,2,4,2,4,2,5,2,5,2,5,4,5,4
263,22,2,2,1,4,4,3,2,2,1,1,3,1,4,4,4,4,4,5,3,2,3,4,4,1,4,4,4,4,4,5,4,5,2
265,20,1,1,1,1,1,5,1,2,1,3,1,3,1,1,1,1,1,2,1,4,2,5,1,2,1,4,1,4,1,4,1,2,3
266,58,2,5,1,5,1,2,3,2,4,2,1,2,2,5,1,5,1,1,1,1,1,4,1,4,1,4,1,4,1,2,1,2,2
267,57,1,3,3,3,2,2,3,2,2,2,2,2,2,2,2,5,2,4,2,4,2,2,2,2,2,4,1,4,3,4,2,4,1
269,20,1,5,2,4,2,1,1,2,1,1,4,1,4,2,2,2,1,1,1,4,1,1,2,1,2,4,3,4,3,5,4,5,4
270,27,1,2,2,4,3,2,4,2,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,2,5,4,5,4
271,20,1,4,2,2,2,1,1,1,3,4,3,4,3,5,2,5,4,3,1,3,4,5,1,5,3,1,1,1,1,4,3,4,2
272,19,2,3,1,3,2,2,1,1,1,1,4,1,4,2,2,2,2,2,1,2,1,5,1,5,1,1,2,1,3,2,2,2,2
273,82,2,2,4,2,4,2,1,2,1,1,2,1,2,1,3,1,1,4,1,4,1,4,1,4,1,5,4,5,4,3,3,3,3
275,21,1,5,1,5,2,1,3,1,3,4,2,4,2,1,2,1,2,4,1,4,2,4,1,4,1,1,3,4,3,3,2,3,2
276,21,2,3,3,3,2,1,2,1,2,1,2,1,2,4,2,4,2,4,1,4,2,5,1,1,2,3,2,4,2,1,1,1,1
278,59,2,2,4,2,3,2,4,2,3,4,3,4,2,4,1,5,2,1,2,1,2,3,1,1,2,1,1,1,1,4,3,4,2
279,20,1,5,2,5,2,3,1,2,1,4,2,2,1,4,2,4,2,2,2,4,3,5,1,1,1,4,2,4,3,4,3,4,2
280,60,2,3,2,4,1,5,1,2,4,3,1,2,4,4,3,4,2,3,2,3,3,5,2,5,1,1,2,4,4,5,4,5,3
281,58,1,4,3,4,4,2,3,2,2,4,2,4,3,4,2,4,2,2,1,4,1,4,2,1,1,1,2,4,2,4,2,2,1
282,21,1,5,1,4,1,2,4,2,4,4,2,4,1,4,2,4,1,5,1,4,1,5,1,1,1,3,2,3,1,2,3,2,3
284,20,2,5,4,5,4,2,4,2,4,1,3,1,2,1,4,1,3,1,2,1,2,5,2,5,2,1,2,1,3,5,4,5,4
286,21,2,5,2,5,2,1,1,2,1,2,2,2,2,4,2,4,2,4,1,4,1,5,2,5,2,4,2,4,2,5,3,5,2
287,55,2,4,4,4,4,1,4,1,4,4,1,4,1,1,4,1,4,2,2,2,4,5,1,5,1,4,4,4,4,5,1,5,1
288,18,2,4,3,4,3,2,4,2,4,3,1,1,2,4,3,4,3,1,1,4,2,2,1,1,1,4,3,4,3,5,3,5,4
289,18,AO05,1,4,1,3,1,1,1,2,5,1,5,1,5,1,5,4,4,4,4,4,5,1,5,1,4,4,4,4,3,4,3,4
291,60,2,3,3,3,3,2,4,3,4,1,3,1,2,4,3,4,2,5,3,5,3,2,1,1,1,5,4,5,4,4,3,4,3
292,54,1,2,1,3,3,1,1,1,3,5,4,4,4,2,2,2,2,4,1,3,1,1,2,1,1,1,2,4,4,4,4,4,3
293,60,2,5,4,5,4,1,3,1,3,4,4,4,3,1,4,1,1,5,4,5,4,5,3,4,1,1,4,1,2,4,4,4,4
295,24,2,4,3,4,4,3,1,3,4,4,3,3,4,5,4,5,4,1,2,1,4,3,1,3,4,1,4,1,4,3,2,3,4
297,22,1,4,2,4,3,5,2,2,2,4,3,2,3,1,3,5,3,1,3,4,2,3,2,1,1,4,3,4,4,2,2,2,4
298,18,2,2,1,2,1,1,1,1,1,4,2,4,2,5,3,5,3,1,1,1,1,1,1,1,1,4,2,4,3,1,2,1,1
299,52,1,4,2,4,2,2,4,2,4,1,2,1,2,5,3,5,3,4,1,4,1,5,1,5,1,4,4,4,4,4,3,4,3
301,74,1,4,2,4,3,3,1,3,2,4,2,4,2,5,3,5,3,4,2,4,2,4,1,1,1,3,3,3,3,4,2,2,2
302,16,2,4,3,4,3,2,3,2,3,5,1,2,2,5,3,5,3,3,2,4,2,2,1,1,2,3,2,3,1,3,3,3,3
303,61,1,2,3,2,2,2,4,2,4,1,3,1,3,1,1,1,1,1,1,1,1,4,3,4,3,5,1,5,1,4,3,4,1
308,55,2,5,2,5,2,2,4,2,4,4,4,4,3,1,2,1,2,2,1,4,1,3,1,1,4,4,2,4,4,1,3,1,4
310,20,2,2,2,2,3,2,4,2,4,1,3,1,3,5,3,5,3,1,2,4,2,5,2,5,2,1,2,4,3,3,1,2,1
311,24,1,4,2,3,2,3,1,2,1,4,1,2,1,4,3,4,3,4,1,4,2,1,1,1,2,5,3,5,2,3,3,3,2
312,53,2,5,2,5,2,1,1,1,1,1,3,1,3,4,2,4,1,4,2,4,3,1,1,1,4,4,2,4,3,5,4,5,4
314,53,2,4,1,4,2,2,4,2,4,1,4,1,4,4,1,4,1,3,4,3,4,1,1,1,1,5,3,5,3,4,3,4,2
315,24,2,5,2,4,3,2,1,2,2,5,1,5,1,2,2,1,3,2,2,2,2,5,1,1,1,4,3,4,3,5,2,5,2
317,24,1,5,1,5,1,1,2,1,2,4,1,4,1,4,3,4,3,1,2,1,2,2,1,2,1,5,2,5,2,3,3,3,3
318,34,2,2,2,2,2,3,2,2,1,1,3,2,2,4,3,4,3,2,2,4,1,3,1,1,1,1,3,4,2,4,3,4,2
319,29,1,4,2,4,3,4,1,2,2,1,2,1,2,4,2,4,2,5,1,4,2,2,1,1,2,4,2,4,3,4,3,4,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29.46195652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14.37395445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
